Age (kyr BP)	frequency-dependence susceptibility/Hematite
60.428	0.524
60.518	0.370
60.607	0.274
60.697	0.230
60.786	0.261
60.875	0.266
60.965	0.257
61.054	0.328
61.144	0.321
61.234	0.453
61.323	0.433
61.413	0.504
61.503	0.444
61.593	0.436
61.682	0.429
61.772	0.455
61.862	0.269
61.951	0.893
62.041	1.124
62.131	0.841
62.221	0.809
62.314	0.794
62.408	0.741
62.502	0.621
62.596	0.653
62.690	0.777
62.783	0.706
62.876	0.564
62.969	0.858
63.063	0.989
63.156	0.884
63.249	1.025
63.342	0.850
63.436	0.964
63.529	0.726
63.626	0.873
63.722	0.752
63.819	0.748
63.915	1.010
64.012	0.997
64.108	0.755
64.205	0.722
64.301	0.934
64.396	0.963
64.490	1.035
64.584	0.765
64.677	0.858
64.771	0.503
64.865	0.938
64.958	0.939
65.052	0.723
65.146	1.146
65.247	0.868
65.351	0.782
65.455	1.221
65.559	1.221
65.663	0.974
65.766	1.012
65.870	0.671
65.974	0.919
66.080	0.882
66.203	0.860
66.326	0.621
66.448	0.815
66.571	0.965
66.694	1.006
66.816	1.137
66.939	1.079
67.062	1.083
67.182	0.430
67.300	1.073
67.418	1.112
67.536	1.028
67.654	1.081
67.773	0.848
67.891	1.189
68.009	1.135
68.127	1.532
68.247	1.140
68.368	1.552
68.488	0.983
68.609	0.994
68.729	0.846
68.850	0.925
68.971	1.032
69.091	0.915
69.226	1.163
69.362	1.355
69.499	1.159
69.635	1.011
69.772	0.980
69.908	0.966
70.045	1.048
70.182	0.767
70.314	0.893
70.442	1.432
70.569	1.355
70.696	2.423
70.824	1.562
70.951	1.711
71.078	2.304
71.206	1.632
71.332	1.601
71.457	1.606
71.582	1.742
71.708	1.419
71.833	2.042
71.959	1.971
72.084	1.644
72.209	1.569
72.339	0.793
72.469	1.252
72.599	1.114
72.730	1.058
72.860	1.702
72.990	1.768
73.121	1.262
73.251	0.944
73.378	1.160
73.505	1.332
73.632	0.721
73.760	1.001
73.887	1.465
74.014	1.292
74.141	0.799
74.268	1.398
74.396	0.914
74.524	1.280
74.652	1.325
74.780	1.335
74.908	1.534
75.036	1.253
75.163	1.264
75.290	1.102
75.412	1.341
75.535	1.209
75.658	1.189
75.781	0.830
75.904	1.004
76.027	0.757
76.150	0.685
76.275	0.809
76.403	0.764
76.569	1.026
76.735	0.778
76.901	0.904
77.067	0.795
77.233	0.811
77.395	0.794
77.557	0.567
77.719	0.671
77.881	0.630
78.043	0.631
78.206	0.455
78.371	0.489
78.537	0.644
78.703	0.740
78.868	0.932
79.034	0.894
79.199	1.303
79.364	1.396
79.529	1.149
79.694	1.097
79.859	0.674
80.024	1.181
80.190	0.615
80.357	0.789
